,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
4,78.72888888888887,89.33333333333333,1102.2222222222222,0
9,67.24137931034483,94.08866995073892,672.4137931034483,0
10,34.28921568627451,94.11764705882352,685.7843137254902,0
15,0.0,0.0,0.0,1
16,0.0,0.0,0.0,1
17,0.0,0.0,0.0,1
18,0.0,0.0,0.0,1
20,13.363636363636363,54.54545454545454,227.27272727272728,1
24,0.0,0.0,0.0,1
36,88.82022471910112,94.3820224719101,2753.370786516854,2
38,0.0,0.0,0.0,1
39,0.0,0.0,0.0,1
41,0.0,0.0,0.0,1
49,50.16239316239316,100.0,652.1367521367521,1
51,27.590163934426226,81.9672131147541,331.1475409836066,1
52,50.041450777202066,92.74611398963731,600.5181347150259,1
53,33.064935064935064,44.8051948051948,396.75324675324674,1
54,20.402985074626866,71.64179104477611,244.77611940298507,1
56,29.333333333333332,78.66666666666666,352.0,1
57,27.82258064516129,67.74193548387096,333.8709677419355,1
58,9.519480519480519,77.92207792207793,114.28571428571428,1
59,94.25,100.0,2921.875,2
60,0.0,0.0,0.0,1
62,81.16326530612245,100.0,2516.326530612245,2
65,71.79187817258884,100.0,502.5380710659898,1
66,73.02985074626865,100.0,511.1940298507463,1
68,0.0,40.7488986784141,0.0,1
70,96.56521739130434,100.0,1834.7826086956522,0
78,0.0,20.724637681159418,0.0,1
80,0.0,42.79835390946502,0.0,1
81,16.846153846153847,47.43589743589743,117.94871794871796,1
82,0.0,0.0,0.0,1
83,0.0,0.0,0.0,1
84,0.0,0.0,0.0,1
85,0.0,0.0,0.0,1
86,0.0,0.0,0.0,1
87,0.0,0.0,0.0,1
88,0.0,0.0,0.0,1
89,0.0,0.0,0.0,1
90,0.0,0.0,0.0,1
91,0.0,0.0,0.0,1
92,0.0,0.0,0.0,1
93,0.0,0.0,0.0,1
94,0.0,0.0,0.0,1
95,0.0,0.0,0.0,1
96,0.0,0.0,0.0,1
97,0.0,0.0,0.0,1
98,0.0,0.0,0.0,1
119,0.0,0.0,0.0,1
120,0.0,0.0,0.0,1
121,0.0,0.0,0.0,1
122,0.0,0.0,0.0,1
123,0.0,0.0,0.0,1
124,0.0,0.0,0.0,1
125,0.0,0.0,0.0,1
